id,name,dataset,time_limit,memory_limit,rating,tags,complexity
p00111,Doctor's Memorable Codes,AIZU,1000,131072,,,
p00112,A Milk Shop,AIZU,1000,131072,,,
p00113,Period,AIZU,1000,131072,,,
p00114,Electro-Fly,AIZU,1000,131072,,,
p00115,Starship UAZ Advance,AIZU,1000,131072,,,
p00116,Rectangular Searching,AIZU,1000,131072,,,
p00117,A reward for a Carpenter,AIZU,1000,131072,,,
p00118,Property Distribution,AIZU,1000,131072,,,
p00119,Taro's Obsession,AIZU,1000,131072,,,
p00120,Patisserie,AIZU,1000,131072,,,
p00121,Seven Puzzle,AIZU,1000,131072,,,
p00122,Summer of Pyonkichi,AIZU,1000,131072,,,
p00123,Speed Skating Badge Test,AIZU,1000,131072,,,
p00124,League Match Score Sheet,AIZU,1000,131072,,,
p00125,Day Count,AIZU,1000,131072,,,
p00126,Puzzle,AIZU,1000,131072,,,
p00127,Pocket Pager Input,AIZU,1000,131072,,,
p00128,Abacus,AIZU,1000,131072,,,
p00129,Hide-and-Seek Supporting System,AIZU,1000,131072,,,
p00130,Train,AIZU,1000,131072,,,
p00131,Doctor's Strange Particles,AIZU,1000,131072,,,
p00132,Jigsaw Puzzle,AIZU,5000,131072,,,
p00133,Rotation of a Pattern,AIZU,1000,131072,,,
p00134,Exit Survey,AIZU,1000,131072,,,
p00135,Clock Short Hand and Long Hand,AIZU,1000,131072,,,
p00136,Frequency Distribution of Height,AIZU,1000,131072,,,
p00137,Middle-Square Method,AIZU,1000,131072,,,
p00138,Track and Field Competition,AIZU,1000,131072,,,
p00139,Snakes,AIZU,1000,131072,,,
p00140,Bus Line,AIZU,1000,131072,,,
p00141,Spiral Pattern,AIZU,1000,131072,,,
p00142,Nature of Prime Numbers,AIZU,1000,131072,,,
p00143,Altair and Vega,AIZU,1000,131072,,,
p00144,Packet Transportation,AIZU,1000,131072,,,
p00145,Cards,AIZU,1000,131072,,,
p00146,Lupin The 4th,AIZU,1000,131072,,,
p00147,Fukushimaken,AIZU,1000,131072,,,
p00148,Candy and Class Flag,AIZU,1000,131072,,,
p00149,Eye Test,AIZU,1000,131072,,,
p00150,Twin Prime,AIZU,1000,131072,,,
p00151,Grid,AIZU,1000,131072,,,
p00152,Bowling,AIZU,1000,131072,,,
p00153,Triangle and Circle,AIZU,1000,131072,,,
p00154,Sum of Cards,AIZU,5000,131072,,,
p00155,Spider Jin,AIZU,1000,131072,,,
p00156,Moats around the Castle,AIZU,1000,131072,,,
p00157,Russian Dolls,AIZU,1000,131072,,,
p00158,Collatz's Problem,AIZU,1000,131072,,,
p00159,The Best Body,AIZU,1000,131072,,,
p00160,Delivery Fee,AIZU,1000,131072,,,
p00161,Sport Meet,AIZU,1000,131072,,,
p00162,Hamming Numbers,AIZU,1000,131072,,,
p00163,Highway Toll,AIZU,1000,131072,,,
p00164,Ohajiki Game,AIZU,1000,131072,,,
p00165,Lottery,AIZU,1000,131072,,,
p00166,Area of Polygon,AIZU,1000,131072,,,
p00167,Bubble Sort,AIZU,1000,131072,,,
p00168,Kannondou,AIZU,1000,131072,,,
p00169,Blackjack,AIZU,1000,131072,,,
p00170,Lunch,AIZU,1000,131072,,,
p00171,Dice Puzzle,AIZU,5000,131072,,,
p00172,Doctor's Research Rooms,AIZU,1000,131072,,,
p00173,Haunted House,AIZU,1000,131072,,,
p00174,Badminton,AIZU,1000,131072,,,
p00175,Quaternary Notation,AIZU,1000,131072,,,
p00176,What Color?,AIZU,1000,131072,,,
p00177,Distance Between Two Cities,AIZU,1000,131072,,,
p00178,TETORIS,AIZU,1000,131072,,,
p00179,Mysterious Worm,AIZU,5000,131072,,,
p00180,Demolition of Bridges,AIZU,1000,131072,,,
p00181,Bookshelf,AIZU,1000,131072,,,
p00182,Beaker,AIZU,1000,131072,,,
p00183,Black-and-White,AIZU,1000,131072,,,
p00184,Tsuruga Castle,AIZU,1000,131072,,,
p00185,Goldbach's Conjecture II,AIZU,1000,131072,,,
p00186,Aizu Chicken,AIZU,1000,131072,,,
p00187,Stoning Fortune,AIZU,1000,131072,,,
p00188,Search,AIZU,1000,131072,,,
p00189,Convenient Location,AIZU,1000,131072,,,
p00190,Eleven Puzzle,AIZU,5000,131072,,,
p00191,Baby Tree,AIZU,1000,131072,,,
p00192,Multistory Parking Lot,AIZU,1000,131072,,,
p00193,Convenience Store,AIZU,5000,131072,,,
p00194,Delivery Company,AIZU,1000,131072,,,
p00195,What is the Most Popular Shop in Tokaichi?,AIZU,1000,131072,,,
p00196,Baseball Championship,AIZU,1000,131072,,,
p00197,Greatest Common Divisor: Euclidean Algorithm,AIZU,1000,131072,,,
p00198,Trouble in Shinagawa's Artifacts,AIZU,1000,131072,,,
p00199,Chairs Where Demanding People Sit,AIZU,1000,131072,,,
p00200,Traveling Alone: One-way Ticket of Youth,AIZU,1000,131072,,,
p00201,Wrought Gold Master,AIZU,1000,131072,,,
p00202,At Boss's Expense,AIZU,5000,131072,,,
p00203,A New Plan of Aizu Ski Resort,AIZU,1000,131072,,,
p00204,UFO Shooting Down Operation,AIZU,1000,131072,,,
p00205,Rock,AIZU,1000,131072,,,
p00206,Next Trip,AIZU,1000,131072,,,
p00207,Block,AIZU,1000,131072,,,
p00208,Room Numbers of a Hospital,AIZU,1000,131072,,,
p00209,Scene in a Picture,AIZU,1000,131072,,,
p00210,The Squares,AIZU,1000,131072,,,
p00211,Jogging,AIZU,1000,131072,,,
p00212,Highway Express Bus,AIZU,1000,131072,,,
p00213,Subdivide The Land,AIZU,1000,131072,,,
p00214,Autumnal Illumination,AIZU,1000,131072,,,
p00215,Pachimon Creature,AIZU,5000,131072,,,
p00216,Cutting Down Water Bills,AIZU,1000,131072,,,
p00217,Walking in the Hospital,AIZU,1000,131072,,,
p00218,Dividing Students,AIZU,1000,131072,,,
p00219,A Popular Ice-cream Shop,AIZU,1000,131072,,,
p00220,Binary Digit A Doctor Loved,AIZU,1000,131072,,,
p00221,FizzBuzz,AIZU,1000,131072,,,
p00222,Prime Quadruplet,AIZU,1000,131072,,,
p00223,Stray Twins,AIZU,5000,131072,,,
p00224,Bicycle Diet,AIZU,8000,131072,,,
p00225,Kobutanukitsuneko,AIZU,1000,131072,,,
p00226,Hit and Blow,AIZU,1000,131072,,,
p00227,Thanksgiving,AIZU,1000,131072,,,
p00228,Seven Segments,AIZU,1000,131072,,,
p00229,Big Hit !,AIZU,1000,131072,,,
p00230,Ninja Climbing,AIZU,1000,131072,,,
p00231,Dangerous Bridge,AIZU,1000,131072,,,
p00232,Life Game,AIZU,1000,131072,,,
p00233,Book Arrangement,AIZU,1000,131072,,,
p00234,Aizu Buried Treasure,AIZU,1000,131072,,,
p00235,Sergeant Rian,AIZU,1000,131072,,,
p00236,Alien Messages,AIZU,5000,131072,,,
p00237,The Last Door,AIZU,1000,131072,,,
p00238,Time to Study,AIZU,1000,131072,,,
p00239,Calorie Counting,AIZU,1000,131072,,,
p00240,Interest Rates,AIZU,1000,131072,,,
p00241,Quaternion Multiplication,AIZU,1000,131072,,,
p00242,Input Candidates,AIZU,1000,131072,,,
p00243,Filling Game,AIZU,3000,131072,,,
p00244,Hot Spring Trip,AIZU,1000,131072,,,
p00245,Time Sale,AIZU,5000,131072,,,
p00246,Bara-Bara Manju,AIZU,8000,131072,,,
p00247,Ice Maze,AIZU,1000,131072,,,
p00248,Magic Square,AIZU,2000,131072,,,
p00249,Ant Nest,AIZU,1000,131072,,,
p00250,Scone,AIZU,1000,131072,,,
p00251,Points for a Perfect Scorer,AIZU,1000,131072,,,
p00252,Railway Ticket,AIZU,1000,131072,,,
p00253,Kitchen Garden,AIZU,1000,131072,,,
p00254,All Numbers Lead to 6174,AIZU,1000,131072,,,
p00255,Salary for a Plumber,AIZU,1000,131072,,,
p00256,Mayan Crucial Prediction,AIZU,5000,131072,,,
p00257,Making Sugoroku,AIZU,3000,131072,,,
p00258,Beat Panel,AIZU,2000,131072,,,
p00259,Finite Field Calculator,AIZU,1000,131072,,,
p00260,Cats Going Straight,AIZU,5000,131072,,,
p00261,Aka-beko and 40 Thieves,AIZU,1000,131072,,,
p00262,Triangle of Blocks,AIZU,5000,131072,,,
p00263,Kongo Type,AIZU,1000,131072,,,
p00264,East Wind,AIZU,1000,131072,,,
p00265,Modular Query,AIZU,3000,131072,,,
p00266,Izua Dictionary,AIZU,8000,131072,,,
p00267,The Lonely Girl's Lie,AIZU,2000,131072,,,
p00268,Cats Going Straight II,AIZU,2000,131072,,,
p00269,Arts and Crafts,AIZU,8000,131072,,,
p00270,Railroad,AIZU,8000,131072,,,
p00271,Temperature Difference,AIZU,1000,131072,,,
p00272,Ticket Sales,AIZU,1000,131072,,,
p00273,Admission Fee,AIZU,1000,131072,,,
p00274,A Pair of Prizes,AIZU,1000,131072,,,
p00275,The Outcome of Bonze,AIZU,1000,131072,,,
p00276,Formation,AIZU,1000,131072,,,
p00277,Programming Contest,AIZU,1000,131072,,,
p00278,Study Session,AIZU,3000,131072,,,
p00279,Happy End Problem,AIZU,3000,131072,,,
p00280,Tennis,AIZU,1000,131072,,,
p00281,Computation of Salary,AIZU,2000,131072,,,
p00282,Jinkoki,AIZU,1000,131072,,,
p00283,Knocker of the Gigas Cedar,AIZU,1000,131072,,,
p00284,Infinite Express,AIZU,1000,131072,,,
p00285,Microorganism Power Generation,AIZU,1000,131072,,,
p00286,Mystery of an Ancient Ruin,AIZU,1000,131072,,,
p00287,Wall,AIZU,1000,131072,,,
p00288,Algorithm Exam,AIZU,8000,131072,,,
p00289,Catch a Thief,AIZU,1000,131072,,,
p00290,The Number of Chairs,AIZU,1000,131072,,,
p00291,A Fat Wallet,AIZU,1000,131072,,,
p00292,The Last One is the Best,AIZU,1000,131072,,,
p00293,Bus Timetable,AIZU,1000,131072,,,
p00294,Railroad II,AIZU,1000,131072,,,
p00295,Floppy Cube,AIZU,1000,131072,,,
p00296,Baton Relay Game,AIZU,1000,131072,,,
p00297,Star Watching,AIZU,1000,131072,,,
p00298,Mighty Man,AIZU,1000,131072,,,
p00299,School Cafeteria,AIZU,1000,131072,,,
p00300,Yuekis' Audio Room,AIZU,1000,131072,,,
p00301,Symmetric Ternary Number,AIZU,1000,131072,,,
p00302,Nisshinkan Marathon Club,AIZU,1000,131072,,,
p00303,Deadlock,AIZU,1000,131072,,,
p00304,New Drug Development,AIZU,1000,131072,,,
p00305,Frame,AIZU,1000,131072,,,
p00306,Kaguya,AIZU,5000,131072,,,
p00307,Net Cafe,AIZU,1000,131072,,,
p00308,Unknown Germ,AIZU,1000,131072,,,
p00309,The Kingdom of Akabeko,AIZU,1000,131072,,,
p00310,The Number of Participants,AIZU,1000,262144,,,
p00311,Fishing Competition,AIZU,1000,262144,,,
p00312,Frog Going Straight,AIZU,1000,262144,,,
p00313,Secret Investigation,AIZU,1000,262144,,,
p00314,Programming Contest,AIZU,1000,262144,,,
p00315,Quality Management,AIZU,2000,262144,,,
p00316,Investigation of Club Activities,AIZU,2000,262144,,,
p00317,Slates,AIZU,5000,262144,,,
p00318,Ruins,AIZU,3000,262144,,,
p00319,Downhill Race,AIZU,1000,262144,,,
p00320,Cuboid,AIZU,1000,262144,,,
p00321,Related Products,AIZU,1000,262144,,,
p00322,Alphametic,AIZU,2000,262144,,,
p00323,Metal Recycling,AIZU,2000,262144,,,
p00324,Bilateral Trade,AIZU,2000,262144,,,
p00325,Halting Problem,AIZU,5000,262144,,,
p00326,Scheduler,AIZU,2000,262144,,,
p00327,Disappearing Sequence,AIZU,1000,262144,,,
p00328,Line Segment Arrangement,AIZU,4000,262144,,,
p00329,Amidakuji,AIZU,2000,262144,,,
p00330,Word,AIZU,1000,262144,,,
p00331,Sunrise and Sunset,AIZU,1000,262144,,,
p00332,Japanese Calendar,AIZU,1000,262144,,,
p00333,New Town,AIZU,1000,262144,,,
p00334,Geometric Data,AIZU,1000,262144,,,
p00335,Pancake,AIZU,1000,262144,,,
p00336,Repeated Spell,AIZU,1000,262144,,,
p00337,Road Planning,AIZU,1000,262144,,,
p00338,Programming Contest II,AIZU,2000,262144,,,
p00339,Game Strategy,AIZU,2000,262144,,,
p00340,Rectangle,AIZU,1000,262144,,,
p00341,Cuboid Made with Bars,AIZU,1000,262144,,,
p00342,Maximization of Rational Expression,AIZU,1000,262144,,,
p00343,Sevens,AIZU,1000,262144,,,
p00344,Cyclic Sugoroku,AIZU,1000,262144,,,
p00345,Irreducible Fractionalization,AIZU,1000,262144,,,
p00346,Quiet Town,AIZU,3000,262144,,,
p00347,Forecast of Forces,AIZU,1000,262144,,,
p00348,Sort,AIZU,3000,262144,,,
p00349,Ant,AIZU,3000,262144,,,
p00350,String Game,AIZU,3000,262144,,,
p00351,Evening,AIZU,1000,262144,,,
p00352,Handsel,AIZU,1000,262144,,,
p00353,Shopping,AIZU,1000,262144,,,
p00354,Day of Week,AIZU,1000,262144,,,
p00355,Reservation System,AIZU,1000,262144,,,
p00356,Wire,AIZU,1000,262144,,,
p00357,Trampoline,AIZU,1000,262144,,,
p00358,Loading,AIZU,1000,262144,,,
p00359,Dungeon,AIZU,1000,262144,,,
p00360,Swapping Characters,AIZU,2000,262144,,,
p00361,Road Improvement,AIZU,1000,262144,,,
p00362,Charging System for Network,AIZU,3000,262144,,,
p00363,Flag,AIZU,1000,262144,,,
p00364,Bange Hills Tower,AIZU,1000,262144,,,
p00365,Age Difference,AIZU,1000,262144,,,
p00366,Electronic Metronome,AIZU,1000,262144,,,
p00367,Three Meals,AIZU,3000,262144,,,
p00368,Checkered Pattern,AIZU,2000,262144,,,
p00369,Paper Fortune,AIZU,1000,262144,,,
p00370,Lake Survey,AIZU,1000,262144,,,
p00371,Lottery Box,AIZU,2000,262144,,,
p00372,Party,AIZU,2000,262144,,,
p00373,Aerial Photo,AIZU,2000,262144,,,
p00374,Iron Bars,AIZU,3000,262144,,,
p00375,Celsius and Fahrenheit,AIZU,1000,262144,,,
p00376,Red Dragonfly,AIZU,1000,262144,,,
p00377,Cake Party,AIZU,1000,262144,,,
p00378,Heat Strokes,AIZU,1000,262144,,,
p00379,Dudeney Number,AIZU,1000,262144,,,
p00380,Bozo Sort,AIZU,1000,262144,,,
p00381,Transporter,AIZU,1000,262144,,,
p00382,Taxi,AIZU,1000,262144,,,
p00383,Points on a Straight Line,AIZU,3000,262144,,,
p00384,Dungeon 2,AIZU,1000,262144,,,
p00385,Disk,AIZU,1000,262144,,,
p00386,Gathering,AIZU,3000,262144,,,
p00387,Party Dress,AIZU,1000,262144,,,
p00388,Design of a Mansion,AIZU,1000,262144,,,
p00389,Pilling Blocks,AIZU,1000,262144,,,
p00390,A Round Table for Sages,AIZU,2000,262144,,,
p00391,Treasure Map,AIZU,1000,262144,,,
p00392,Common-Prime Sort,AIZU,2000,262144,,,
p00393,Beautiful Sequence,AIZU,1000,262144,,,
p00394,Payroll,AIZU,2000,262144,,,
p00395,Maze and Items,AIZU,4000,262144,,,
p00396,Playing With Stones,AIZU,1000,262144,,,
p00397,Kth XOR,AIZU,3000,262144,,,
p00398,Road Construction,AIZU,3000,262144,,,
p00399,Shiba Inu,AIZU,1000,262144,,,
p00400,ASCII Characters,AIZU,1000,262144,,,
p00401,Power of Two,AIZU,1000,262144,,,
p00402,Meeting Place,AIZU,1000,262144,,,
p00403,Cave for Cats,AIZU,1000,262144,,,
p00404,Floor,AIZU,1000,262144,,,
p00405,Akabeko 20,AIZU,1000,262144,,,
p00406,Arrows,AIZU,1000,262144,,,
p00407,Castle in the Sky,AIZU,2000,262144,,,
p00408,Tournament Record,AIZU,1000,262144,,,
p00409,Prayer for Iwashiro,AIZU,3000,262144,,,
p00410,Dungeon 3,AIZU,2000,262144,,,
p00411,Stop Watch without Tick Mark,AIZU,1000,262144,,,
p00412,Gas Station,AIZU,1000,262144,,,
p00413,Laver,AIZU,1000,262144,,,
p00414,Molting,AIZU,1000,262144,,,
p00415,Digits K,AIZU,1000,262144,,,
p00416,Two Polygons,AIZU,1000,262144,,,
p00417,Bug,AIZU,2000,262144,,,
p00418,Gym with Many Rules,AIZU,1000,262144,,,
p00419,Into the Wild,AIZU,3000,262144,,,
p00420,Chemical Substance Alpha,AIZU,2000,262144,,,
p00421,Sum of the Number of Triangles,AIZU,2000,262144,,,
p00422,Resource of the Planet Yanaizu,AIZU,2000,262144,,,
p00423,Card Game,AIZU,1000,131072,,,
p00424,Data Conversion,AIZU,1000,131072,,,
p00425,Dice,AIZU,1000,131072,,,
p00426,Cup,AIZU,5000,131072,,,
p00427,Card Game II,AIZU,5000,131072,,,
p00428,Questionnaire,AIZU,1000,131072,,,
p00429,String,AIZU,1000,131072,,,
p00430,Square,AIZU,1000,131072,,,
p00431,String With Rings,AIZU,8000,131072,,,
p00432,Sheets,AIZU,5000,131072,,,
p00433,Score,AIZU,1000,131072,,,
p00434,Who Are The Student Yet To Submit,AIZU,1000,131072,,,
p00435,Caesar Cipher,AIZU,1000,131072,,,
p00436,Shuffle The Cards,AIZU,1000,131072,,,
p00437,Quality Checking,AIZU,1000,131072,,,
p00438,School Road,AIZU,1000,131072,,,
p00439,Maximum Sum,AIZU,1000,131072,,,
p00440,Longest Steps,AIZU,1000,131072,,,
p00441,The Oldest Site,AIZU,5000,131072,,,
p00442,Worst Reporter,AIZU,1000,131072,,,
p00443,Lightest Mobile,AIZU,5000,131072,,,
p00444,Change,AIZU,1000,131072,,,
p00445,JOI and IOI,AIZU,1000,131072,,,
p00446,Card Game,AIZU,1000,131072,,,
p00447,Searching Constellation,AIZU,1000,131072,,,
p00448,Osenbei,AIZU,3000,131072,,,
p00449,Boat Travel,AIZU,1000,131072,,,
p00450,Setting Go Stones,AIZU,1000,131072,,,
p00451,Common Sub-String,AIZU,1000,131072,,,
p00452,Darts,AIZU,1000,131072,,,
p00453,Pyon-Pyon River Crossing,AIZU,1000,131072,,,
p00454,Paint Color,AIZU,5000,131072,,,
p00455,Time Card,AIZU,1000,131072,,,
p00456,Contest,AIZU,1000,131072,,,
p00457,Chain,AIZU,1000,131072,,,
p00458,Crossing Black Ice,AIZU,1000,131072,,,
p00459,Shuffle,AIZU,1000,131072,,,
p00460,Bingo,AIZU,1000,131072,,,
p00461,IOIOI,AIZU,1000,131072,,,
p00462,Pizza,AIZU,1000,131072,,,
p00463,Amidakuji,AIZU,1000,131072,,,
p00464,Walk,AIZU,1000,131072,,,
p00465,Authentication Level,AIZU,1000,131072,,,
p00466,Receipt,AIZU,1000,131072,,,
p00467,Sugoroku,AIZU,1000,131072,,,
p00468,Party,AIZU,1000,131072,,,
p00469,Lining up the cards,AIZU,1000,131072,,,
p00470,Commute routes,AIZU,1000,131072,,,
p00471,Reindeer with no sense of direction,AIZU,8000,131072,,,
p00472,A Traveler,AIZU,8000,131072,,,
p00473,Dividing Snacks,AIZU,8000,131072,,,
p00474,Icicles,AIZU,8000,131072,,,
p00475,Exposition,AIZU,8000,131072,,,
p00476,Dungeon,AIZU,8000,131072,,,
p00477,Total Time,AIZU,8000,131072,,,
p00478,Ring,AIZU,8000,131072,,,
p00479,Tile,AIZU,8000,131072,,,
p00480,A First Grader,AIZU,8000,131072,,,
p00481,Cheese,AIZU,8000,131072,,,
p00482,JOI Flag,AIZU,8000,131072,,,
p00483,Planetary Exploration,AIZU,8000,131072,,,
p00484,Books,AIZU,8000,131072,,,
p00485,Shopping in JOI Kingdom,AIZU,8000,131072,,,
p00486,Walking Santa,AIZU,8000,131072,,,
p00487,Bug Party,AIZU,8000,131072,,,
p00488,Lunch,AIZU,8000,131072,,,
p00489,Soccer,AIZU,8000,131072,,,
p00490,Best Pizza,AIZU,8000,131072,,,
p00491,Pasta,AIZU,8000,131072,,,
p00492,Illumination,AIZU,8000,131072,,,
p00493,Zig-Zag Numbers,AIZU,8000,262144,,,
p00494,JJOOII,AIZU,8000,131072,,,
p00495,Card Game is Fun,AIZU,8000,131072,,,
p00496,Night Market,AIZU,8000,131072,,,
p00497,Nails,AIZU,8000,524288,,,
p00498,Festivals in JOI Kingdom,AIZU,8000,131072,,,
p00499,Homework,AIZU,8000,131072,,,
p00500,Unique number,AIZU,8000,131072,,,
p00501,Signboard,AIZU,8000,131072,,,
p00502,Hot days,AIZU,8000,131072,,,
p00503,Fish,AIZU,8000,131072,,,
p00504,Gifts,AIZU,8000,262144,,,
p00505,Triangle Types,AIZU,8000,131072,,,
p00506,Common Divisors,AIZU,8000,131072,,,
p00507,The Third Permutation,AIZU,8000,131072,,,
p00508,Nearest Two Points,AIZU,8000,131072,,,
p00509,Palindrome,AIZU,8000,131072,,,
p00510,Tunnel,AIZU,8000,131072,,,
p00511,Simple Calculator,AIZU,8000,131072,,,
p00512,Production,AIZU,8000,131072,,,
p00513,Available Areas,AIZU,8000,131072,,,
p00514,Beads,AIZU,8000,131072,,,
p00515,Average Score,AIZU,8000,131072,,,
p00516,Vote,AIZU,8000,131072,,,
p00517,Super Metropolis,AIZU,8000,131072,,,
p00518,Schedule,AIZU,8000,131072,,,
p00519,Taxis,AIZU,8000,262144,,,
p00520,Xiao Long Bao,AIZU,8000,131072,,,
p00521,JOI Emblem,AIZU,8000,262144,,,
p00522,IOI Manju,AIZU,8000,262144,,,
p00523,Baumkuchen,AIZU,8000,262144,,,
p00524,Sugar Glider,AIZU,8000,262144,,,
p00525,Cutting,AIZU,8000,262144,,,
p00526,Illumination,AIZU,1000,262144,,,
p00527,Take the 'IOI' train,AIZU,1000,262144,,,
p00528,Modern Mansion,AIZU,1000,262144,,,
p00529,Tower of JOIOI,AIZU,3000,262144,,,
p00530,Bubble Sort,AIZU,1000,262144,,,
p00531,Water Rate,AIZU,8000,262144,,,
p00532,Christmas Party,AIZU,8000,262144,,,
p00533,Weather Forecaster,AIZU,8000,262144,,,
p00534,Silk Road,AIZU,8000,262144,,,
p00535,Sandcastle,AIZU,8000,262144,,,
p00536,Treasures,AIZU,8000,1048576,,,
p00537,Railroad Trip,AIZU,8000,262144,,,
p00538,Cake 2,AIZU,8000,262144,,,
